
GrupoA

/home/user/GrupoA /home/user
There are 31 tests
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl00 10 "(ERRO) linha 3: "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl04 11 "ERROR - Linha 16: Função de nome  f  já declarada na linha 2. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl05 11 "ERROR - Linha 10: Variável de nome  a  já declarada na linha 3. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl06 0 ""
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl07 10 "ERROR - Linha 3: Identificador  a  referido na linha 3 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl08 11 "ERROR - Linha 3: Variável de nome  b  já declarada na linha 2. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl09 10 "ERROR - Linha 4: Identificador  b  referido na linha 4 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl10 10 "ERROR - Linha 3: Identificador  a  referido na linha 3 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl11 10 "ERROR - Linha 4: Identificador  a  referido na linha 4 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl12 10 "ERROR - Linha 3: Identificador  b  referido na linha 3 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl13 10 "ERROR - Linha 3: Identificador  a  referido na linha 3 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl14 10 "ERROR - Linha 3: Identificador  a  referido na linha 3 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl15 10 "ERROR - Linha 4: Identificador  a  referido na linha 4 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl16 10 "ERROR - Linha 4: Identificador  g  referido na linha 4 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl17 10 "ERROR - Linha 3: Identificador  h  referido na linha 3 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl18 11 "ERROR - Linha 11: Variável de nome  a  já declarada na linha 5. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl19 0 ""
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl20 10 "ERROR - Linha 6: Identificador  a  referido na linha 6 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl21 10 "ERROR - Linha 6: Identificador  a  referido na linha 6 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl22 10 "ERROR - Linha 7: Identificador  g  referido na linha 7 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl23 10 "ERROR - Linha 6: Identificador  v  referido na linha 6 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl24 11 "ERROR - Linha 7: Função de nome  f  já declarada na linha 2. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl25 10 "ERROR - Linha 10: Identificador  g  referido na linha 10 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl26 0 ""
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl27 11 "ERROR - Linha 8: Função de nome  g  já declarada na linha 2. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl28 0 ""
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl29 0 ""
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl30 11 "ERROR - Linha 7: Função de nome  main  já declarada na linha 2. "
/home/user

GrupoD

/home/user/GrupoD /home/user
There are 31 tests
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl00 10 "Erro semântico: O identificador a, referenciado na linha 3, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl01 11 "Erro semântico: O identificador a (natureza: IDENTIFICADOR), declarado na linha 4, já foi declarado anteriormente na linha 3. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl02 11 "Erro semântico: O identificador a (natureza: IDENTIFICADOR), declarado na linha 4, já foi declarado anteriormente na linha 3. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl03 0 ""
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl04 11 "Erro semântico: O identificador f (natureza: FUNÇÃO), declarado na linha 16, já foi declarado anteriormente na linha 2. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl05 11 "Erro semântico: O identificador a (natureza: IDENTIFICADOR), declarado na linha 10, já foi declarado anteriormente na linha 3. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl06 0 "0x55e1cf73f410 [label= g ]; "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl07 10 "Erro semântico: O identificador a, referenciado na linha 3, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl08 11 "Erro semântico: O identificador b (natureza: IDENTIFICADOR), declarado na linha 3, já foi declarado anteriormente na linha 2. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl09 10 "Erro semântico: O identificador b, referenciado na linha 4, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl10 10 "Erro semântico: O identificador a, referenciado na linha 3, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl11 10 "Erro semântico: O identificador a, referenciado na linha 4, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl12 10 "Erro semântico: O identificador b, referenciado na linha 3, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl13 10 "Erro semântico: O identificador a, referenciado na linha 3, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl14 10 "Erro semântico: O identificador a, referenciado na linha 3, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl15 10 "Erro semântico: O identificador a, referenciado na linha 4, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl16 10 "Erro semântico: O identificador g, referenciado na linha 4, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl17 10 "Erro semântico: O identificador h, referenciado na linha 3, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl18 11 "Erro semântico: O identificador a (natureza: IDENTIFICADOR), declarado na linha 11, já foi declarado anteriormente na linha 5. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl19 0 "0x556ece138410 [label= f ]; "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl20 10 "Erro semântico: O identificador a, referenciado na linha 6, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl21 10 "Erro semântico: O identificador a, referenciado na linha 6, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl22 10 "Erro semântico: O identificador g, referenciado na linha 7, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl23 10 "Erro semântico: O identificador v, referenciado na linha 6, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl24 11 "Erro semântico: O identificador f (natureza: FUNÇÃO), declarado na linha 7, já foi declarado anteriormente na linha 2. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl25 10 "Erro semântico: O identificador g, referenciado na linha 10, não foi declarado. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl26 0 "0x56239cee3430 [label= g ]; "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl27 11 "Erro semântico: O identificador g (natureza: FUNÇÃO), declarado na linha 8, já foi declarado anteriormente na linha 2. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl28 11 "Erro semântico: O identificador a (natureza: IDENTIFICADOR), declarado na linha 2, já foi declarado anteriormente na linha 2. "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl29 0 "0x56066d1ef410 [label= f ]; "
GrupoD |DEBUG GrupoD_tests/e4/2024_2/kjl30 11 "Erro semântico: O identificador main (natureza: FUNÇÃO), declarado na linha 7, já foi declarado anteriormente na linha 2. "
/home/user

GrupoE

/home/user/GrupoE /home/user
There are 31 tests
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl00 10 "semantic error: identificador a (variável) na linha 3 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl01 11 "semantic error: identificador a (variável) na linha 4 já declarado na linha 3 "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl02 11 "semantic error: identificador a (variável) na linha 4 já declarado na linha 3 "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl03 0 ""
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl04 11 "semantic error: identificador f (função) na linha 16 já declarado na linha 2 "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl05 11 "semantic error: identificador a (variável) na linha 10 já declarado na linha 3 "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl06 0 ""
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl07 10 "semantic error: identificador a (variável) na linha 3 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl08 11 "semantic error: identificador b (variável) na linha 3 já declarado na linha 2 "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl09 10 "semantic error: identificador b (variável) na linha 4 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl10 10 "semantic error: identificador a (variável) na linha 3 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl11 10 "semantic error: identificador a (variável) na linha 4 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl12 10 "semantic error: identificador b (variável) na linha 3 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl13 10 "semantic error: identificador a (variável) na linha 3 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl14 10 "semantic error: identificador a (variável) na linha 3 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl15 10 "semantic error: identificador a (variável) na linha 4 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl16 10 "semantic error: identificador g (função) na linha 4 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl17 10 "semantic error: identificador h (função) na linha 3 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl18 11 "semantic error: identificador a (variável) na linha 11 já declarado na linha 5 "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl19 0 ""
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl20 10 "semantic error: identificador a (variável) na linha 6 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl21 10 "semantic error: identificador a (variável) na linha 6 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl22 10 "semantic error: identificador g (função) na linha 7 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl23 10 "semantic error: identificador v (variável) na linha 6 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl24 11 "semantic error: identificador f (função) na linha 7 já declarado na linha 2 "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl25 10 "semantic error: identificador g (função) na linha 10 não declarado "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl26 0 ""
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl27 11 "semantic error: identificador g (função) na linha 8 já declarado na linha 2 "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl28 11 "semantic error: identificador a (variável) na linha 2 já declarado na linha 2 "
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl29 0 ""
GrupoE |DEBUG GrupoE_tests/e4/2024_2/kjl30 11 "semantic error: identificador main (função) na linha 7 já declarado na linha 2 "
/home/user

GrupoF

/home/user/GrupoF /home/user
There are 31 tests
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl00 10 "Symbol Undeclared. Error in line 3 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl01 11 "Duplicated Variable Declaration. Error in line 4 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl02 11 "Duplicated Variable Declaration. Error in line 4 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl03 0 ""
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl04 11 "Duplicated Function Declaration. Error in line 16 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl05 11 "Duplicated Variable Declaration. Error in line 10 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl06 0 ""
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl07 10 "Symbol Undeclared. Error in line 3 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl08 11 "Duplicated Variable Declaration. Error in line 3 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl09 10 "Symbol Undeclared. Error in line 4 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl10 10 "Symbol Undeclared. Error in line 3 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl11 10 "Symbol Undeclared. Error in line 4 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl12 10 "Symbol Undeclared. Error in line 3 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl13 10 "Symbol Undeclared. Error in line 3 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl14 10 "Symbol Undeclared. Error in line 3 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl15 10 "Symbol Undeclared. Error in line 4 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl16 10 "Function Undeclared. Error in line 4 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl17 10 "Function Undeclared. Error in line 3 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl18 11 "Duplicated Variable Declaration. Error in line 11 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl19 0 ""
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl20 10 "Symbol Undeclared. Error in line 6 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl21 10 "Symbol Undeclared. Error in line 6 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl22 10 "Function Undeclared. Error in line 7 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl23 10 "Symbol Undeclared. Error in line 6 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl24 11 "Duplicated Function Declaration. Error in line 7 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl25 10 "Function Undeclared. Error in line 10 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl26 0 ""
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl27 11 "Duplicated Function Declaration. Error in line 8 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl28 11 "Error in line 2 "
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl29 0 ""
GrupoF |DEBUG GrupoF_tests/e4/2024_2/kjl30 11 "Duplicated Function Declaration. Error in line 7 "
/home/user

GrupoG

/home/user/GrupoG /home/user
There are 31 tests
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl00 10 "Declaração  do identificador [a] usado na linha [3] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl01 11 "Redeclaração  do identificador [a] detectada na linha [4], declaração prévia na linha [3] "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl02 11 "Redeclaração  do identificador [a] detectada na linha [4], declaração prévia na linha [3] "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl03 0 ""
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl04 11 "Redeclaração  do identificador [f] detectada na linha [16], declaração prévia na linha [2] "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl05 11 "Redeclaração  do identificador [a] detectada na linha [10], declaração prévia na linha [3] "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl06 0 ""
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl07 10 "Declaração  do identificador [a] usado na linha [3] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl08 11 "Redeclaração  do identificador [b] detectada na linha [3], declaração prévia na linha [2] "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl09 10 "Declaração  do identificador [b] usado na linha [4] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl10 10 "Declaração  do identificador [a] usado na linha [3] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl11 10 "Declaração  do identificador [a] usado na linha [4] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl12 10 "Declaração  do identificador [b] usado na linha [3] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl13 10 "Declaração  do identificador [a] usado na linha [3] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl14 10 "Declaração  do identificador [a] usado na linha [3] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl15 10 "Declaração  do identificador [a] usado na linha [4] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl16 10 "Declaração  do identificador [g] usado na linha [4] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl17 10 "Declaração  do identificador [h] usado na linha [3] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl18 11 "Redeclaração  do identificador [a] detectada na linha [11], declaração prévia na linha [5] "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl19 0 ""
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl20 10 "Declaração  do identificador [a] usado na linha [6] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl21 10 "Declaração  do identificador [a] usado na linha [6] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl22 10 "Declaração  do identificador [g] usado na linha [7] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl23 10 "Declaração  do identificador [v] usado na linha [6] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl24 11 "Redeclaração  do identificador [f] detectada na linha [7], declaração prévia na linha [2] "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl25 10 "Declaração  do identificador [g] usado na linha [10] não encontrada "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl26 0 ""
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl27 11 "Redeclaração  do identificador [g] detectada na linha [8], declaração prévia na linha [2] "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl28 11 "Redeclaração  do identificador [a] detectada na linha [2], declaração prévia na linha [2] "
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl29 0 ""
GrupoG |DEBUG GrupoG_tests/e4/2024_2/kjl30 11 "Redeclaração  do identificador [main] detectada na linha [7], declaração prévia na linha [2] "
/home/user

GrupoH

/home/user/GrupoH /home/user
There are 31 tests
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl00 10 "Error: Assignment to undeclared variable a on line 3. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl01 11 "Error: Redeclaration of variable a (int) on line 4: Found previous declaration a (int) on line 3. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl02 11 "Error: Redeclaration of variable a (float) on line 4: Found previous declaration a (int) on line 3. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl03 0 ""
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl04 11 "Error: Redeclaration of function f > int on line 16: Found previous declaration f > int on line 2. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl05 11 "Error: Redeclaration of variable a (int) on line 10: Found previous declaration a (int) on line 3. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl06 0 ""
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl07 10 "Error: Using undeclared variable a on line 3. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl08 11 "Error: Redeclaration of variable b (int) on line 3: Found previous declaration b (int) on line 2. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl09 10 "Error: Using undeclared variable b on line 4. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl10 10 "Error: Assignment to undeclared variable a on line 3. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl11 10 "Error: Assignment to undeclared variable a on line 4. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl12 10 "Error: Assignment to undeclared variable b on line 3. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl13 10 "Error: Assignment to undeclared variable a on line 3. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl14 10 "Error: Assignment to undeclared variable a on line 3. "
